id,text
1,4 aydır pasaport bekliyorum vize başvurusu yapmam gerekiyor yardımınıza ihtiyacım var. @TCNufusDestek@TCNufus @sefikaygol
2,@ArcelikDestek @arcelik @ArcelikDestek @arcelikEvdeyiz ve oluşan sonuç . Gerçekten Arçelik pişmanlıktır yazık
3,Kuşadası'nda kaldığımız Cashmer Otel'de yaşadığımız deneyim oldukça olumsuzdu. Paramızla rezil olduk. Şeflerin davranışları hoş değildi ve kendimizi kötü hissettik. Ne sıcak su vardı ne de istediğimiz diğer şeyler sağlandı. Temizlik konusunda da ciddi eksiklikler vardı; çarşaflar temiz değildi. Otelin genel kalitesi beklentilerimizin çok altındaydı.
4,Yapıştırrrrcaklar sana@SetrabetDestek
5,Vodafone evde internete yaklaşık 1 hafta önce geçiş yaptım şu an internetin çok lazım olduğu bir dönemde teknik arızadan dolayı interneti kullanamıyorum. Ve yeterince ilgi gösterilmiyor Vodafone gibi önde gelen telekomünikasyon firmasının bu yaptığı çok yanlış en yakın zamanda sorunu çözmelerini istiyorum. Çözmezler ise cayma bedeli yansımadan üyeliğimin kapanmasını istiyorum ayrıca Vodafone müşteri hizmetlerine bağlanması çok zor telesekreter hiçbir şekilde müşteri hizmetlerine bağlamıyor bununda çözülmesi lazım. En kısa zamanda çözülmesini rica ediyorum. Kütahya Tavşanlı ulucami mah.
6,Onkoloji bölümündeki radyoterapi cihazı sürekli bozuluyor. Sonra bizi arayıp randevu tarihi haftalar sonraya erteleniyor. Annem ölüyor. Kadın ölüyor. Bıktık artık. Tedaviye ihtiyacımız var. Lütfen bir çare bulun. Hastaların tedavisi aksıyor bir tek biz değiliz.
7,Sadenet aboneliğim başlamadığı halde başvuru iptal talebimi gerçekleştirmiyor. TurkNet iletişim diye aratarak bulduğum numaradan Sadenet'e yönlendirdiler ve abonelik başvurusunda bulundum. Sonra yanıltıcı olduklarını görünce hemen iptal etmek için aradım. Ve geri dönüş yapılmıyor. 2 gündür 6 kere görüştüm son görüşmede dilekçe yazmanız gerek diyorlar. Aboneliğim daha başlamadı kimlik fotoğrafı göndermedim. İptal istememe rağmen hala kimlik fotoğrafı atmam için mesaj geliyor WhatsApp'tan. Dava açmak istiyorum eğer bugün iptal gerçekleşmezse. Acilen internet bağlatmam lazım ama port dolu gözüküyor. Bu Sadenet yüzünden.
8,Bana ait e-posta adresi u***************@hotmail.com ve bana ait 0505********55 numaralı telefonumla bana ait ev adresimin teslimat adresi olarak bulunduğu annem D**** T** (Çintay) ismi adı altında Migros Sanal Market üyeliğimden bugün 18.06.2023 tarihinde ayrı ayrı 2 sipariş olarak iki adet Kumtel marka vantilatör siparişi verdim. Parasını da kendime ait kredi kartımdan sipariş verdiğim esnada peşin olarak online mobil sanal market sisteminden ödedim.\n\nAyrı ayrı 2 sipariş verdiğim ürünlerden biri adresime teslim edildi diğer siparişimdeki Kumtel marka vantilatör ürünü henüz teslim edilmedi. Fakat Migros Sanal Market uygulamasında teslim edilmiş olarak gözüküyor. Siparişin üzerinden saatlerce zaman geçmesine rağmen parasını online kredi kartımdan ödediğim ürün teslim edilmediği halde mobil sanal sisteminizde teslim edilmiş olarak görülüyor. Migros Mersin Sayapark 5M Sanal Market Mağazasını aradım personele durumu aktardım. Aşırı derecede ilgisiz davrandı umursamadı bile. Takındığı tavrı yazmayı kendime yakıştıramıyorum. İlgisiz ve dalga geçer tavırdaydı. Parasını online kredi kartı ile ödediğim halde teslim edilmeyen ve teslim edildiği gösterilen ürünün sipariş numarası: 453249624'tür. Şikayetçiyim satın aldığım ürünün teslimini talep ediyorum. Teslim etmiyorlarsa ödediğim paranın ödemeyi yaptığım kredi kartına iadesini talep ediyorum. Bu iki seçenekten biri gerçekleşmediği takdirde yasalardan kaynaklanan haklarımı kullanmak istiyorum. Mağdurum şikayetçiyim gereğinin yapılmasını dilerim.\n\nNot: Teslim edilmeyen ürünün sistemde benim adıma kesilmiş ve bedeli de ödenmiş gözüken faturası da mevcuttur. Şahsi bilgilerimin güvenliği nedeni ile paylaşmaktan imtina etmekteyim. Şikayetvar isterse kendileri ile özelden paylaşabilirim.
9,@ZiraatDestek Ziraat borsa hesabımda uygulama üzerinde süreli emir verme seçeneği kayboldu ne yapmamız gerekiyor ?
10,Bu fiyara Kkblo ve adaptörü olması güzel
