id,text,company,positive,negative,notr
1,"11 Haziran'da Migros Hemen'den 3 paket Yayla Osmancık pirinç 2 kg sipariş ettim. Gelen ürünler kurtlanmıştı, iade talep ettim. Ancak bugün 3. gün ve gelen giden olmadı. Ürünler kurtlu olduğu için evde tutmak istemediğimi belirtip aciliyet bildirdim. Ancak halen alınmadı. Mağazayı arıyorum, ulaşamıyorum. Müşteri hizmetleri hep aynı şeyi tekrar edip duruyor. Bayram tatili girmeden ürünlerin alınmasını istediğimi belirttim. Mağdurum.",Migros Hemen,,"Ürünler kurtlu olduğu için evde tutmak istemediğimi belirtip aciliyet bildirdim.|Mağdurum|Ancak halen alınmadı.|Mağazayı arıyorum, ulaşamıyorum",3 paket Yayla Osmancık pirinç 2 kg sipariş ettim
2,Ymnturkmtal tarafından şahsıma uzlaşma SMS gönderip Uzlaşma ceza dosyanızın onay günüdür. Bilgi almak için arayınız. Musteki dosyahakkindabilgi.com B001 E-devlet üzerinden kontrol ettiğimde böyle bir dava adıma görünmemektedir tarafıma gönderilen bu SMS'i hiçbir şekilde kabul etmiyorum ve adıma açılmış veya açılacak bahis sitesi tüm sahte dava yöntemlerini kabul etmiyorum.Ömer s***,,,,
3,Isparta Petrol turizm otobüs firması yolculuğuma son iki saat kala otobüsün geciktiğini SMS ile iletti. Yarım saat sonra tekrar SMS ile bilgilendirilip normal kalkış saatinden iki saat gecikeceği bildirildi. Firmayı birkaç defa arayıp ulaşamadım kimse yardımcı olmadı.,,,Firmayı birkaç defa arayıp ulaşamadım kimse yardımcı olmadı.,Isparta Petrol turizm otobüs firması yolculuğuma son iki saat kala otobüsün geciktiğini SMS ile iletti|Yarım saat sonra tekrar SMS ile bilgilendirilip normal kalkış saatinden iki saat gecikeceği bildirild
4,"11.06.24, 12.06.24, 13.06.24 tarihlerinde saat kaçta kesintinin başladığını bilmemekle birlikte akşam saat 19.00 ila 19.30 arasında evimde oluyorum. Bu saatten itibaren saat 22.30 ila 23.00 arasında uyumuş oluyorum. Yani anlatmak istediğim, evde bulunduğum saatlerde elektriği kullanamıyorum. 3 gündür soğuk suyla duş alıyorum, saçlarımı kurutamıyorum ve klimayı çalıştıramıyorum. Aradığımda hep ekiplerin ilgilendiği ve arızanın başında oldukları söyleniyor. Karşı sokağımızda elektrik var, bizim sokakta yok. Demek ki çözülebilecek bir sorun olduğunu düşünüyorum. Artık maliyetten mi kaçılıyor, bir şeylerin değişmesi için Ankara'dan haber mi bekleniyor bilmiyorum. Mağduriyetimizin giderilmesini arz ediyorum.",,," hep ekiplerin ilgilendiği ve arızanın başında oldukları söyleniyor.| 3 gündür soğuk suyla duş alıyorum, saçlarımı kurutamıyorum ve klimayı çalıştıramıyorum. ","11.06.24, 12.06.24, 13.06.24 tarihlerinde saat kaçta kesintinin başladığını bilmemekle birlikte akşam saat 19.00 ila 19.30 arasında evimde oluyorum. |22.30 ila 23.00 arasında uyumuş oluyorum."
5,"12.06.2024 tarihinde GS Store'dan online olarak 100. Yıl formasını satın aldım. Formam geldiğinde, M beden olduğu için küçük geldi. GS Store müşteri temsilcisi ile görüştüm ve en yakın GS Store mağazasından değiştirebileceğimi söylediler. Kargo elime ulaştığı gün Pendik Viaport GS Store'a gittim ve ürünü L beden ile değiştirdim. Güvendiğim için açıkçası çok incelemedim. Eve geldiğimde, üzerimde denerken sponsor yazısının alelade yapıştırılmış olduğunu gördüm. Kalkmıştı. Ondan sonra tekrar gittim ve formayı tekrar değiştirdim. Eve geldiğimde bu sefer de arkasında Yüzüncü Yıl baskısının olmadığını fark ettim. Bu kadar profesyonel bir kulübün mağazasında satılan formaların bu kadar kötü bir işçilikle üretilmiş olmasına inanmak zor. Her şey defolu; dikişler defolu, yazılar alelade yapıştırılmış ve daha giymeden çıkıyor. Bazı baskılar unutulmuş gibi. Sanki Pendik Viaport GS Store'a defolu ne kadar ürün varsa gönderilmiş. 100. Yıl formaları için formamdaki hataları aşağıdaki görsellerde paylaştım. Lütfen bir yetkilinin bana ulaşıp yardımcı olmasını istiyorum. Saygılarımla, GS Store temsilcisi.",GS Store|Güvendiğim için açıkçası çok incelemedim|GS Store temsilcisi|Pendik Viaport GS Store,Güvendiğim için açıkçası çok incelemedim,"Her şey defolu; dikişler defolu, yazılar alelade yapıştırılmış ve daha giymeden çıkıyor|Bu kadar profesyonel bir kulübün mağazasında satılan formaların bu kadar kötü bir işçilikle üretilmiş olmasına inanmak zo|100. Yıl formaları için formamdaki hataları aşağıdaki görsellerde paylaştım|Formam geldiğinde, M beden olduğu için küçük geldi","Saygılarımla,|Lütfen bir yetkilinin bana ulaşıp yardımcı olmasını istiyorum"
6,"Cesur Bingöl 13 Haziran 2024 Perşembe - 15:30 PNR = 5210239 numaralı aldığım ve gerçekleştirdiğim seferde, yaşlı, ak saçlı bir amca vardı. Bu çalışan, yersiz yersiz insanlara rahatsızlık verdi. Kulaklarında sorun olduğu için anlaşmakta bayağı zorlandık. Bunun yanında, yabancı uyruklu bir adamdan sırf dilimizi bilmiyor diye 800 TL bagaj parası istedi. Adam vermeyince küfürler ederek ahlaki değerleri aştı. Gereğinin yapılmasını rica ederim. Teşekkürler.",,. Teşekkürler.," yabancı uyruklu bir adamdan sırf dilimizi bilmiyor diye 800 TL bagaj parası istedi. Adam vermeyince küfürler ederek ahlaki değerleri aştı.|çalışan, yersiz yersiz insanlara rahatsızlık verdi.|Kulaklarında sorun olduğu için anlaşmakta bayağı zorlandık.","13 Haziran 2024 Perşembe - 15:30 PNR = 5210239 numaralı aldığım ve gerçekleştirdiğim seferde, yaşlı, ak saçlı bir amca vardı. Bu |Gereğinin yapılmasını rica ederim. Teşekkürler."
7,Merhaba Watsons doğum günüm için 50 TL indirimimi nasıl kullanabilirim indirim kodu mail ime ulaşmadı. Watsons Club üyesiyim ve Watsons Club ayrıcalıklarım kısmında doğum günüm için böyle bir hediyem olduğu yazıyor. Sorunumu çözer misiniz? Teşekkür ederim, Watsons Club|Watsons |Watsons Club ,Teşekkür ederi,50 TL indirimimi nasıl kullanabilirim indirim kodu mail ime ulaşmadı.,. Sorunumu çözer misiniz? Teşekkür ederi|doğum günüm için böyle bir hediyem olduğu yazıyor
8,Arzum marka Ar4201y magic Line model dikey süpürgemizin toz haznesinin tırnağı kırıldığı için maalesef ürün kullanılamıyor. Ankara'da bir çok bayiiden sipariş verildi ama hepsinde ürün yok cevabı geldi. Daha garantisi bile bitmemiş ürün çöp oldu. Lütfen bu parçayı nereden temin edebileceğim konusunda yardımcı olun,Arzum ,, Ar4201y magic Line model dikey süpürgemizin toz haznesinin tırnağı kırıldığı için maalesef ürün kullanılamıyor|Daha garantisi bile bitmemiş ürün çöp oldu|hepsinde ürün yok cevabı geldi, Lütfen bu parçayı nereden temin edebileceğim konusunda yardımcı olun
9,"07.06.2024 tarihinde Obilet Sitesinden Metro Turizm firmasından, 12.06.2024 tarihli saat 06.30 saatinde Eskişehir-Çorum seferine bilet satın aldım. Otobüs seferinin iptal edildiğini Eskişehir otogarına gidip Metro Turizm firmasına peron bilgisi sormak için gittiğimde öğrendim. Ondan öncesinde ne telefon ile bir bilgi, ne bir mail herhangi bir yöntem ile iletişime geçilmedi. Ne otogardaki firma yetkilileri ne müşteri hizmetleri bu mağduriyet ile alakalı asla yardımcı olmadılar. Tam bayram öncesi başka sefer bulmak imkansızdı Metro Turizm pişmanlıktır bir daha mı? Asla!",Metro Turizm| Metro Turizm|Obilet ,,"Otobüs seferinin iptal edildiğini Eskişehir otogarına gidip Metro Turizm firmasına peron bilgisi sormak için gittiğimde öğrendim.|Tam bayram öncesi başka sefer bulmak imkansızdı|Ne otogardaki firma yetkilileri ne müşteri hizmetleri bu mağduriyet ile alakalı asla yardımcı olmadılar.|bir daha mı? Asla!|ne telefon ile bir bilgi, ne bir mail herhangi bir yöntem ile iletişime geçilmedi.|pişmanlıktır ",12.06.2024 tarihli saat 06.30 saatinde Eskişehir-Çorum seferine bilet satın aldım.
10,Digiturk'ten şikayetçiyim. Telefon faturamın taahhüt süresinin bitimine yakın beni Telekom'dan aradıklarını söyleyip teklif ettikleri telefon faturası paketinin detaylarını uzun uzun anlattılar. Ben de teklifi kabul ettim. Üç gün sonra tarifemde herhangi bir değişiklik olmayınca Telekom'u aradım. Böyle bir teklifte bulunmadıklarını söylediler. Telefon faturası diye anlatıp Digiturk'e abone yapmışlar. Şimdi iptali için uğraşıyorum. Görüşmelerimiz kaydediliyor sanırım. Telefon deyip Digiturk abonesi yapmak nedir? Ayrıca ben ücretsiz verseniz izlemeyecek bir adamım. Acil düzeltin kendinizi.,Digiturk'|Digiturk'e |Telekom'u ,Ben de teklifi kabul ettim.,şikayetçiyim|Şimdi iptali için uğraşıyorum| Böyle bir teklifte bulunmadıklarını söylediler. Telefon faturası diye anlatıp Digiturk'e abone yapmışlar.| Görüşmelerimiz kaydediliyor sanırım. Telefon deyip Digiturk abonesi yapmak nedir? Ayrıca ben ücretsiz verseniz izlemeyecek bir adamım. Acil düzeltin kendinizi.,. Telefon faturamın taahhüt süresinin bitimine yakın beni Telekom'dan aradıklarını söyleyip|teklif ettikleri telefon faturası paketinin detaylarını uzun uzun anlattılar|Üç gün sonra tarifemde herhangi bir değişiklik olmayınca Telekom'u aradım
